asset_id,theme_id,role,relevance,notes,last_updated_date
gev,age-of-electricity,platform,high,Age of Electricity chain layer: prime-movers. Heavy-duty gas turbines and grid equipment; the slot itself is the scarce asset. Long-run revenue CAGR hypothesis 8-12% over 10y; economics: scarcity-rent-plus-installed-base; evidence basis: primary_filing. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
gev,ai-physical-infrastructure,enabler,high,"Gas turbines, transformers and electrification systems support new data-centre load.",2026-07-18
vrt,ai-physical-infrastructure,enabler,high,"Power management, thermal management and deployment infrastructure inside data centres.",2026-07-18
crdo,high-speed-connectivity,enabler,high,"High-speed, lower-power connectivity for scale-out AI networks.",2026-07-18
rklb,vertically-integrated-space,platform,high,Launch and space systems would combine with Iridium spectrum and recurring services if the transaction closes.,2026-07-18
mp,critical-minerals-security,platform,high,US mine-to-magnet rare-earth chain with government price and offtake support.,2026-07-18
nee,age-of-electricity,beneficiary,high,Age of Electricity chain layer: regulated-rate-base. Largest regulated utility platform plus renewables development; merging with Dominion. Long-run revenue CAGR hypothesis 5-8% over 10y; economics: regulated-return-on-rate-base; evidence basis: issuer_and_filing. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
duk,age-of-electricity,beneficiary,medium,"Screen candidate; power generation and utility exposure. Web-sourced lead, unverified thesis.",2026-07-26
so,age-of-electricity,beneficiary,medium,"Screen candidate; power generation and utility exposure. Web-sourced lead, unverified thesis.",2026-07-26
ceg,age-of-electricity,beneficiary,high,Age of Electricity chain layer: merchant-generation. Existing nuclear fleet re-contracted to data centres at higher prices. Long-run revenue CAGR hypothesis 4-8% over 10y; economics: recontracting-not-volume; evidence basis: issuer_release. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
vst,age-of-electricity,beneficiary,high,Age of Electricity chain layer: merchant-generation. Merchant fleet across ERCOT and PJM sold into a short capacity market. Long-run revenue CAGR hypothesis 3-7% over 10y; economics: merchant-price-bet; evidence basis: issuer_release. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
tln,age-of-electricity,beneficiary,medium,Age of Electricity chain layer: merchant-generation. Nuclear capacity supplying a hyperscaler campus directly. Long-run revenue CAGR hypothesis 3-8% over 10y; economics: regulatory-outcome-bet; evidence basis: issuer_and_regulator. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
aep,age-of-electricity,beneficiary,medium,Age of Electricity chain layer: regulated-rate-base. Regulated transmission and distribution with large disclosed data-centre load. Long-run revenue CAGR hypothesis 5-8% over 10y; economics: regulated-return-on-rate-base; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
exc,age-of-electricity,beneficiary,medium,"Screen candidate; power generation and utility exposure. Web-sourced lead, unverified thesis.",2026-07-26
d,age-of-electricity,beneficiary,medium,"Screen candidate; power generation and utility exposure. Web-sourced lead, unverified thesis.",2026-07-26
etn,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
pwr,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
hubb,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
nvt,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
jci,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
carr,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
mod,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
smci,ai-physical-infrastructure,enabler,medium,"Screen candidate; electrical equipment, cooling and deployment. Web-sourced lead, unverified thesis.",2026-07-26
anet,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
mrvl,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
cohr,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
lite,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
alab,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
fn,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
cien,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
avgo,high-speed-connectivity,enabler,medium,"Screen candidate; optics, interconnect and networking silicon. Web-sourced lead, unverified thesis.",2026-07-26
leu,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
oklo,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
ccj,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
uec,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
dnn,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
nxe,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
uuuu,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
smr,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
bwxt,advanced-nuclear-enablers,enabler,medium,"Screen candidate; fuel cycle, enrichment and reactor supply. Web-sourced lead, unverified thesis.",2026-07-26
usar,critical-minerals-security,beneficiary,medium,"Screen candidate; mining and processing outside China. Web-sourced lead, unverified thesis.",2026-07-26
tmc,critical-minerals-security,beneficiary,medium,"Screen candidate; mining and processing outside China. Web-sourced lead, unverified thesis.",2026-07-26
alb,critical-minerals-security,beneficiary,medium,"Screen candidate; mining and processing outside China. Web-sourced lead, unverified thesis.",2026-07-26
pl,vertically-integrated-space,beneficiary,medium,"Screen candidate; launch, satellites and downstream services. Web-sourced lead, unverified thesis.",2026-07-26
satl,vertically-integrated-space,beneficiary,medium,"Screen candidate; launch, satellites and downstream services. Web-sourced lead, unverified thesis.",2026-07-26
krmn,vertically-integrated-space,beneficiary,medium,"Screen candidate; launch, satellites and downstream services. Web-sourced lead, unverified thesis.",2026-07-26
rdw,vertically-integrated-space,beneficiary,medium,"Screen candidate; launch, satellites and downstream services. Web-sourced lead, unverified thesis.",2026-07-26
lunr,vertically-integrated-space,beneficiary,medium,"Screen candidate; launch, satellites and downstream services. Web-sourced lead, unverified thesis.",2026-07-26
asts,vertically-integrated-space,beneficiary,medium,"Screen candidate; launch, satellites and downstream services. Web-sourced lead, unverified thesis.",2026-07-26
cmi,age-of-electricity,enabler,medium,Age of Electricity chain layer: prime-movers. Standby and bridging generation; the power source used while grid connection is waited for. Long-run revenue CAGR hypothesis 4-7% over 10y; economics: diluted-exposure; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
powl,age-of-electricity,enabler,high,Age of Electricity chain layer: grid-equipment. Custom switchgear and packaged electrical houses for very large single loads. Long-run revenue CAGR hypothesis 12-18% over 10y; economics: lumpy-project-scarcity; evidence basis: issuer_release. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
spxc,age-of-electricity,enabler,high,Age of Electricity chain layer: grid-equipment. Medium-power transformers and cooling; sits directly on the transformer bottleneck. Long-run revenue CAGR hypothesis 8-12% over 10y; economics: cyclical-scarcity-rent; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
tt,age-of-electricity,enabler,medium,Age of Electricity chain layer: thermal-white-space. Applied cooling at building and campus scale. Long-run revenue CAGR hypothesis 6-9% over 10y; economics: quality-compounder; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
eme,age-of-electricity,enabler,medium,Age of Electricity chain layer: build-and-install. Mechanical and electrical construction; data centres a rising share of the mix. Long-run revenue CAGR hypothesis 7-11% over 10y; economics: execution-driven; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
myrg,age-of-electricity,enabler,medium,Age of Electricity chain layer: build-and-install. Transmission and distribution contracting at small scale. Long-run revenue CAGR hypothesis 8-12% over 10y; economics: price-taker; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
etn,age-of-electricity,enabler,high,Age of Electricity chain layer: grid-equipment. Electrical distribution and power management from the substation to the rack. Long-run revenue CAGR hypothesis 7-11% over 10y; economics: scarcity-rent; evidence basis: issuer_release. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
hubb,age-of-electricity,enabler,medium,Age of Electricity chain layer: grid-equipment. Utility transmission and distribution components; grid-hardening consumables. Long-run revenue CAGR hypothesis 6-9% over 10y; economics: specified-in-position; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
nvt,age-of-electricity,enabler,high,Age of Electricity chain layer: grid-equipment. Enclosures and electrical connection; liquid-cooling fluid connectors. Long-run revenue CAGR hypothesis 8-12% over 10y; economics: share-gain-plus-scarcity; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
bwxt,age-of-electricity,enabler,medium,Age of Electricity chain layer: prime-movers. Nuclear components; naval propulsion today and small modular reactors as optionality. Long-run revenue CAGR hypothesis 6-10% over 10y; economics: sole-source-plus-option; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
vrt,age-of-electricity,enabler,high,Age of Electricity chain layer: thermal-white-space. Power and thermal management inside the data hall. Long-run revenue CAGR hypothesis 12-18% over 10y; economics: share-plus-content-growth; evidence basis: primary_filing. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
mod,age-of-electricity,enabler,medium,Age of Electricity chain layer: thermal-white-space. Data-centre cooling equipment; a mix shift away from vehicular thermal. Long-run revenue CAGR hypothesis 7-12% over 10y; economics: mix-shift-in-progress; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
pwr,age-of-electricity,enabler,high,Age of Electricity chain layer: build-and-install. Electric infrastructure construction; owns the scarce skilled labour force. Long-run revenue CAGR hypothesis 9-13% over 10y; economics: scarce-labour-moat; evidence basis: issuer_release. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
ccj,age-of-electricity,enabler,medium,Age of Electricity chain layer: fuel-cycle. Uranium supply and enrichment; fuel for the firm low-carbon capacity being contracted. Long-run revenue CAGR hypothesis 8-14% over 10y; economics: contracted-commodity; evidence basis: screen_inference. Basis and falsifier in data/growth_estimates.csv.,2026-08-08
