member_id,name,seat,discipline,era,method,review_questions,catches,does_not_transfer,blind_spot,priority_sections,source,status,added_date
druckenmiller,Stanley Druckenmiller,Regime and inflection,macro,active,"Identify the point at which conditions change rather than the conditions themselves, and ask what the change forces somebody to do.","Which sentence in this issue names an inflection rather than a state of the world?;If the thesis is right, what must be bought, built or financed in the next six months, and by whom?;What single observation would reverse this view, and would the store notice it in time?","A draft that describes a condition and calls it a change. Restated levels dressed as movement.","Trading horizon, position turnover, and the use of price action as a primary signal. This file has a 5-10 year horizon; the seat supplies the inflection test, never the timing.","Little tolerance for a thesis that pays slowly. Would abandon a correct ten-year theme on two disappointing quarters.",Cycle Position;Structural Change Radar;Executive Summary,"Public interviews and lectures; Duquesne 13F history, which discloses long US equity only and with a lag.",active,2026-08-12
marks,Howard Marks,Cycle position and second-level thinking,macro,active,"Ask not what conditions are but what conditions are already priced, and whether the risk is being paid for.","What does this issue believe that the market does not, and where is the evidence that the market believes otherwise?;Is the argument first-level — good company, therefore good investment — anywhere in this draft?;Are we being compensated for the risk being taken, or only exposed to it?","A quality judgement doing the work of a valuation judgement.","Distressed credit mechanics and the cycle-timing of a large opportunistic fund.","Cycle language is applicable to anything in hindsight. The seat rarely names a falsifier or a date, which is exactly what this file requires of it.",Cycle Position;Scenario Analysis;Action posture,"Oaktree memos, published continuously since 1990.",active,2026-08-12
dalio,Ray Dalio,Debt and liquidity machine,macro,active,"Treat the economy mechanistically: spending is funded by credit creation, and the long-term debt cycle governs what any given reading means.","Who is borrowing to fund the spending this theme depends on, and on what terms?;Does the macro section read levels without asking where the money comes from?;What happens to this chain if the cost of that credit rises two points?","A demand forecast with no funding source named.","Sovereign portfolio construction and the all-weather allocation framework.","The framework explains every outcome, which means it forbids very little. Public calls have often been directionally right and never dated.",Cycle Position;Structural Change Radar,"Principles for Navigating Big Debt Crises; How the Economic Machine Works.",active,2026-08-12
soros,George Soros,Reflexivity,macro,active,"Where belief and fundamentals feed each other, the fundamentals are partly an output of the belief. Find the loop and ask what breaks it.","Which part of this theme's fundamentals is being created by belief in the theme?;If external funding stopped tomorrow, what in this chain would still be built?;Is the market's misperception self-correcting or self-reinforcing at this point?","A narrative-funded boom analysed as though the narrative were an exogenous fact.","Currency and macro position-taking, and the reflexive short.","Reflexivity is not falsifiable over any short period, and in the wrong hands it turns every sustained trend into a bubble call.",Structural Change Radar;Cycle Position,"The Alchemy of Finance (1987); the theory of reflexivity as later restated in lectures.",active,2026-08-12
chancellor,Edward Chancellor,Capital cycle,macro,active,"High returns attract capital, and the supply response — not demand — usually decides what the returns become. Watch capital expenditure, entrants and asset growth.","How much capacity is being added in this layer, by whom, and when does it arrive?;Is the return on incremental capital in this layer rising or falling?;Which participants are financing expansion that will still be arriving after demand normalises?","A demand forecast presented without the supply response it will provoke. This is the most common expensive error available to a file about an infrastructure buildout.","Long-only asset management and the Marathon holding period.","The capital cycle can call a boom finished years before it finishes, and says little about which participant survives the shakeout.",Structural Change Radar;Scenario Analysis,"Capital Returns: Investing Through the Capital Cycle (2015), edited from Marathon Asset Management letters.",active,2026-08-12
grantham,Jeremy Grantham,Bubbles and mean reversion,macro,active,"Profit margins and multiples are the most mean-reverting series in finance; test whether a forecast quietly assumes they do not revert.","Does any scenario here extrapolate current margins or multiples through a full cycle?;What does this theme look like priced on mid-cycle rather than current economics?;Which historical analogue is this most like, including the ones that failed?","A base case built on peak conditions and labelled conservative.","Asset allocation across a multi-asset institutional portfolio, and the seven-year forecast format.","A long record of being early and loud. Profitable trends have been called bubbles for a decade at a time, which is a real cost this file must weigh against the warning.",Cycle Position;Scenario Analysis,"GMO quarterly letters and the firm's published long-term asset-class forecasts.",active,2026-08-12
mauboussin,Michael Mauboussin,Expectations and base rates,valuation,active,"Read the price for the expectations it embeds, then judge those expectations against base rates rather than against an inside-view forecast.","What growth, margin and duration does the current price require, and is that arithmetic anywhere in the issue?;What is the base rate for companies that have achieved what this one is assumed to achieve?;Is the variant perception a claim about the business or a claim about the expectations?","A growth rate asserted with no base rate, and a valuation described as cheap with no expectations arithmetic behind the word.","Sell-side and consultant-facing framing, and the assumption of a liquid comparables set.","The arithmetic is only as good as the reverse-DCF's inputs, and it can make a fragile business look calculable.",New Candidates;Scenario Analysis;Existing Thesis Updates,"Expectations Investing (2001, revised 2021); Counterpoint Global research notes.",active,2026-08-12
damodaran,Aswath Damodaran,Valuation and narrative discipline,valuation,active,"Every story must attach to an input, and every input must trace to a story. A number with no narrative is unexamined; a narrative with no number is untested.","Which valuation input does each part of this story change, and by how much?;Is the same addressable market being counted once, or separately by every name in the section?;Where is the discount rate, and does it reflect the risk actually being described?","A theme argued at length with no number attached, and a number carried forward with no story left supporting it.","The habit of valuing everything. Some assets here are not yet valuable enough to value, and a full model on one of them manufactures precision.","False precision on early-stage assets, and a tendency to treat a valuation as a conclusion rather than as one input among several.",New Candidates;Scenario Analysis;Existing Thesis Updates,"Musings on Markets; Narrative and Numbers (2017); the annual data updates.",active,2026-08-12
klarman,Seth Klarman,Margin of safety and permanent loss,valuation,active,"Start from what can be permanently lost, not from what can be gained, and require the price to pay for being wrong.","Is the upside case doing work that downside protection should be doing?;What is the realistic permanent-impairment case here, expressed as a number rather than as a risk paragraph?;Would this thesis survive its own bear case being right for two years?","An asymmetry claim where the downside has been described qualitatively and the upside quantitatively.","Absolute-return mandates, the ability to hold large cash balances, and private and distressed instruments.","The discipline systematically misses long-duration compounders, and is defensive in exactly the periods this file exists to catch.",Scenario Analysis;Decision Dashboard;Action posture,"Margin of Safety (1991); Baupost investor letters, quoted second-hand.",active,2026-08-12
buffett,Warren Buffett,Moat and owner earnings,quality,active,"Ask what the business will earn for its owner after the spending required to stay where it is, and what protects that stream for a decade.","How much of this capital expenditure is maintenance and how much is growth, and does the issue distinguish them?;What specifically stops a well-funded competitor from taking this position in five years?;Is this inside the circle of competence the store has actually built, or the one it would like to have?","Reported earnings mistaken for owner earnings, and growth capex counted as optional.","Insurance float, control positions, and the ability to buy an entire business rather than a share of one.","The circle of competence excluded most of this file's subject matter for several decades, and the technology exception arrived late.",Existing Thesis Updates;New Candidates;Decision Dashboard,"Berkshire Hathaway annual letters, 1977 onward; the 1986 owner-earnings appendix.",active,2026-08-12
munger,Charlie Munger,Inversion and incentives,quality,historical,"Invert. Ask how the conclusion fails, and ask who is paid what, by whom, for the behaviour being read as evidence.","How does this issue turn out to be wrong, written as a paragraph rather than a risk bullet?;Who is paid for the behaviour we are citing as evidence, and would they do it anyway?;Which of the claims here depend on a management statement that management is compensated to make?","Incentive-driven disclosure read as fact, and a conclusion with no written account of its own failure.","The concentrated partnership structure and the willingness to hold three positions.","Categorical dismissal of whole fields. This seat is read for the inversion method, not for its conclusions.",Existing Thesis Updates;Signal Scanner;Data gaps,"Poor Charlie's Almanack; the 1995 Psychology of Human Misjudgment talk. Munger died in 2023; the seat is a school of method, not a living reviewer.",active,2026-08-12
