asset_id,symbol,theme_id,as_of_date,chain_layer,role_in_chain,revenue_cagr_low,revenue_cagr_high,horizon_years,margin_direction,pricing_power,economics_type,current_growth_anchor,growth_basis,evidence_basis,confidence,key_uncertainty,falsifier,next_checkpoint
gev,GEV,age-of-electricity,2026-08-08,prime-movers,Heavy-duty gas turbines and grid equipment; the slot itself is the scarce asset,8,12,10,expanding,high,scarcity-rent-plus-installed-base,"Q2 2026 revenue $11.1B +22% (+12% organic); orders $24.2B +88% organic; backlog $176B; FY26 guide revenue $45.5-46.5B, FCF $11.5-12.5B","Unit path is disclosed, not guessed: gas turbine output goes 20 GW annualised in Q3 2026 to 24 GW in 2028 to 30 GW in 2030, which is roughly 10% a year in units. Price is rising because the product is sold out, and the services annuity compounds with every GW installed. Wind subtracts. Long run sits below the current 22% because units cannot grow faster than the factories.",primary_filing,medium,"116 GW of gas is 53 GW firm backlog plus 63 GW slot reservation agreements. The reservations are the softer half and their conversion rate under a capex slowdown has never been observed.","Slot reservations cancelling or expiring rather than converting to orders; gas equipment backlog falling in a quarter without a matching orders offset.","Q3 2026 gas backlog and slot-reservation split; whether the year-end 125 GW target is reached"
etn,ETN,age-of-electricity,2026-08-08,grid-equipment,Electrical distribution and power management from the substation to the rack,7,11,10,expanding,high,scarcity-rent,"Q2 2026 organic growth 14%, above the high end of guidance; Electrical Americas twelve-month rolling orders +41%, Electrical Global +33%; electrical backlog +43% y/y; organic guidance raised",Backlog growing at three times the revenue rate means the constraint is capacity rather than demand. That converts into price today and a multi-year revenue floor. The long-run rate is set by how fast Eaton can add plants and by the eventual normalisation of a 43% backlog build.,issuer_release,medium,How much of a 41% order rate is genuine new load versus customers ordering early to hold a delivery slot. Double-ordering is invisible until it unwinds.,Order growth turning negative while backlog stays flat — the signature of cancelled duplicate orders.,Q3 2026 orders and backlog; any change in lead-time commentary
hubb,HUBB,age-of-electricity,2026-08-08,grid-equipment,Utility transmission and distribution components; grid-hardening consumables,6,9,10,stable-to-expanding,medium-high,specified-in-position,Not yet verified from a primary filing in this store,"Utility products are qualified into utility standards, which makes displacement slow and pricing sticky. The growth ceiling is utility capital budgets, which are regulator-approved and therefore smoother and lower than merchant demand.",screen_inference,low,Whether the utility segment's growth is genuinely load-driven or is grid-replacement spending that would have happened regardless of AI.,Utility segment organic growth falling to low single digits while data-centre load forecasts keep rising — evidence the two are unconnected.,First rotation review; utility segment organic growth and price/volume split
nvt,NVT,age-of-electricity,2026-08-08,grid-equipment,Enclosures and electrical connection; liquid-cooling fluid connectors,8,12,10,expanding,medium-high,share-gain-plus-scarcity,Not yet verified from a primary filing in this store,"Two engines: the enclosure and connection business grows with electrical content, and liquid cooling is a genuine share shift as rack density moves past the point where air cooling works. The second is small and growing fast, so mix improves the blended rate.",screen_inference,low,"Liquid cooling's share of revenue is not established here, so the mix-shift argument is asserted rather than measured.","Liquid-cooling revenue disclosed as immaterial, or a rack-cooling standard emerging that designs nVent's connection content out.",First rotation review; segment disclosure on liquid cooling
spxc,SPXC,age-of-electricity,2026-08-08,grid-equipment,Medium-power transformers and cooling; sits directly on the transformer bottleneck,8,12,10,expanding,high-but-cyclical,cyclical-scarcity-rent,Not yet verified from a primary filing in this store,"Transformer lead times running to several years are a supply failure, and supply failures price. The rate should be strong while the queue is long. Deliberately not extrapolated further: a lead-time premium is rent collected during a shortage, not a moat, and it decays as capacity is added.",screen_inference,low,Whether the transformer margin is structural or entirely a lead-time artefact that reverses when the industry finishes adding capacity.,Transformer lead times normalising toward historical norms while SPX margins stay flat — which would prove the margin was never scarcity-driven — or falling with them.,First rotation review; transformer segment backlog and lead-time commentary
powl,POWL,age-of-electricity,2026-08-08,grid-equipment,Custom switchgear and packaged electrical houses for very large single loads,12,18,10,expanding,high-near-term,lumpy-project-scarcity,"Fiscal Q2 2026 orders $490M, book-to-bill 1.7x, gross margin 29.6%; a data-centre order above $400M was awarded after quarter-end, the largest in company history",Small revenue base against very large individual orders means high potential growth arithmetic. The wide range reflects that the outcome depends on winning a handful of mega-projects rather than on a market growing smoothly.,issuer_release,low,"Extreme order concentration. One $400M award against this revenue base is transformative, and its absence next year is equally so. The average is not the experience.","Book-to-bill falling below 1.0 for consecutive quarters; the mega-order not converting to recognised revenue on schedule.",Conversion of the post-quarter mega order; fiscal Q3 2026 book-to-bill
cmi,CMI,age-of-electricity,2026-08-08,prime-movers,Standby and bridging generation; the power source used while grid connection is waited for,4,7,10,stable,medium,diluted-exposure,Not yet verified from a primary filing in this store,"Deliberately the lowest range in the equipment layer. The power generation segment is genuinely exposed to data-centre bridging load, but most revenue is truck and industrial engines on an ordinary cycle. The blended rate is dominated by the part that is not growing.",screen_inference,low,Whether power generation grows enough to matter against the engine business — a mix question that the consolidated growth rate hides.,Power generation segment growth failing to lift consolidated growth above the industrial cycle — the case for holding it as a theme name would then be gone.,First rotation review; power generation segment as a share of revenue and profit
bwxt,BWXT,age-of-electricity,2026-08-08,prime-movers,Nuclear components; naval propulsion today and small modular reactors as optionality,6,10,10,stable-to-expanding,high-in-core,sole-source-plus-option,Not yet verified from a primary filing in this store,"The naval and government work is close to sole-source and grows with defence appropriations rather than with AI, which makes it the stable base. The reactor component opportunity is real but sits beyond this decade's cash flows.",screen_inference,low,How much of any valuation rests on small modular reactors that have not yet been built at commercial scale.,SMR programme cancellations or slippage without offsetting government backlog growth.,First rotation review; government backlog and the split of revenue by end market
vrt,VRT,age-of-electricity,2026-08-08,thermal-white-space,Power and thermal management inside the data hall,12,18,10,expanding-then-plateau,high,share-plus-content-growth,"Q2 2026 net sales $3,274M +24% (18% organic); adjusted operating margin 22.6% +410bp; FY26 guide sales $13.8-14.2B, organic 30-32%, adjusted FCF $2.4-2.6B","Content per megawatt is rising as rack density forces liquid cooling, so Vertiv grows faster than data-centre floor space. The long-run range is deliberately half the current 30% because that rate is a function of hyperscaler capex growing 77% in one year, which cannot repeat.",primary_filing,medium,"The Q2 release disclosed no orders, no backlog and no book-to-bill. The single best forward indicator, and the one the W29 thesis named as its open question, stopped being published in the release.","Organic growth decelerating faster than guidance while margin also falls — the combination that would show the pricing was cyclical.","Whether the 10-Q or slide deck restores orders and backlog disclosure; Q3 2026 organic growth against the 34-36% guide"
tt,TT,age-of-electricity,2026-08-08,thermal-white-space,Applied cooling at building and campus scale,6,9,10,stable-to-expanding,medium-high,quality-compounder,Not yet verified from a primary filing in this store,"Data-centre cooling is a growing but minority share of applied commercial HVAC. The rate reflects the whole business, not the fastest part of it. Historically strong price realisation and service attachment support the upper half.",screen_inference,low,Whether data-centre demand is large enough to change a company of this size — the exposure may be real and still immaterial.,Data-centre cooling remaining an unquantified share of revenue after several quarters of being cited as a driver.,First rotation review; any disclosure sizing data-centre revenue
