layer_id,name,parent_layer_id,flow_order,frame_position,what_it_is,value_capture,profit_cents,has_profit_box,benchmark_source_id,theme_ids,asset_ids,our_name_count,exposure_class,exposure_verdict,weekly_metric,key_risk,authored_date
application-layer,Application layer,,0,outside-frame,"The software and workflows that pay the $1.00. The chart begins at the model user, so the layer that generates the demand is not drawn at all.",,,false,src-2026-w32-icapital-chain,,,0,none,"Absent from the exhibit and absent from our universe. If cheaper tokens are an input-cost decline, this is the layer that banks it.",none yet,Cannot be sized from this exhibit. The omission may be the most important thing in it.,2026-08-10
external-funding,External funding,,1,in-frame,"17.3 cents of investor capital entering alongside every $1.00 of customer spend, because the model layer loses money.",Negative. This is subsidy entering the chain.,-17.3,false,src-2026-w32-icapital-chain,,,0,none,Not investable. Tracked because it is the chain's least durable input: roughly 15% of all flow is funding rather than revenue.,private AI funding announcements and hyperscaler capex guidance,"If funding tightens the chain contracts from the order-placing layer downward, not evenly.",2026-08-10
foundation-models,Foundation models,,2,in-frame,The labs. Take in $1.173 and book no profit box on the exhibit.,None on this estimate. The layer closest to the intelligence captures the least.,0,false,src-2026-w32-icapital-chain,,,0,none,"Zero coverage. Mostly private, so the gap is partly structural rather than a choice.",token price benchmarks and published pricing changes,"Open-weight competition compresses this layer first, and it is the layer everything downstream is ordered against.",2026-08-10
hyperscaler-cloud,Hyperscaler cloud,,3,in-frame,"Cloud platforms monetising AI simultaneously through infrastructure, their own models, their own silicon and enterprise relationships.",29.7 cents — the largest single slice by a wide margin.,29.7,true,src-2026-w32-icapital-chain,,,0,none,ZERO NAMES. Half of all identified profit in the chain sits in a layer we do not track. This has never been decided on purpose.,aggregate capex guidance and cloud segment growth,Concentration. Four buyers set the order book for every layer below them.,2026-08-10
neocloud,Pure neocloud,,4,in-frame,"GPU capacity rented without owning the customer, the model, the silicon or the balance sheet.",0.2 cents. Effectively nothing.,0.2,true,src-2026-w32-icapital-chain,,,0,none,"Zero names, and on this estimate that is the correct answer rather than a gap.",listed neocloud gross margin and contract duration disclosures,The 0.2c figure is the cheapest claim in the exhibit to verify against filings and the most damaging to the exhibit if wrong.,2026-08-10
dc-chips-servers,Data-centre chips and servers,,5,in-frame,"Routing bucket. Splits into commercial chips, custom ASICs, memory, foundry, server OEM and other OEM cost of goods.",Pass-through. Profit is taken by its children.,,false,src-2026-w32-icapital-chain,,,0,none,,,,2026-08-10
commercial-chips,Commercial chips,dc-chips-servers,6,in-frame,Merchant accelerator and networking silicon sold to anyone who will buy it.,13.0 cents — the second largest slice.,13.0,true,src-2026-w32-icapital-chain,high-speed-connectivity,"avgo,mrvl,crdo,alab",4,adjacent,"Adjacent, not core. We hold interconnect and custom-silicon names, none of the merchant accelerator profit pool that the 13.0c actually describes.",revenue growth and gross margin from weekly_metrics,"Our four names are exposed to the same aggregate compute demand but capture a different, smaller pool than the one this cent figure measures.",2026-08-10
custom-asics,Custom chips (ASICs),dc-chips-servers,7,in-frame,Accelerators designed to a single buyer's specification.,1.1 cents. The smallest silicon slice despite being the loudest narrative.,1.1,true,src-2026-w32-icapital-chain,high-speed-connectivity,"avgo,mrvl",2,core,Covered. Note the asymmetry the narrative misses: ASICs taking share from merchant silicon moves value from a 13.0c pool into a 1.1c pool.,custom silicon programme disclosures,A share shift into this layer shrinks the total profit pool rather than relocating it.,2026-08-10
memory,Memory,dc-chips-servers,8,in-frame,HBM and conventional DRAM. Content per rack is claimed to be rising.,5.8 cents — larger than foundry and server OEM combined.,5.8,true,src-2026-w32-icapital-chain,,,0,none,ZERO NAMES. Third-largest profit box in the chain and we track none of it.,memory pricing and content-per-rack disclosures,Historically the most cyclical layer in semiconductors. Absence may be defensible; it has not been argued.,2026-08-10
foundry,Foundry,dc-chips-servers,9,in-frame,Leading-edge wafer manufacture and advanced packaging.,2.8 cents.,2.8,true,src-2026-w32-icapital-chain,,,0,none,Zero names. A single-supplier chokepoint for the entire chain and it is untracked.,advanced-node and packaging capacity commentary,Geopolitical concentration is the chain's largest single point of failure and sits entirely outside our coverage.,2026-08-10
server-oem,Server OEM and ODM,dc-chips-servers,10,in-frame,"Assembly of accelerators, memory and networking into racks.",2.8 cents on a very large revenue base — a thin-margin integration business.,2.8,true,src-2026-w32-icapital-chain,ai-physical-infrastructure,smci,1,core,"One name. Correctly sized: high revenue, low profit share.",gross margin trend from weekly_metrics,Margin is set by component pricing the layer does not control.,2026-08-10
other-oem-cogs,Other OEM cost of goods,dc-chips-servers,11,in-frame,Remaining bill of materials with no profit box drawn.,None attributed.,,false,src-2026-w32-icapital-chain,,,0,none,,,,2026-08-10
dc-equipment-facility,Data-centre equipment and facility,,12,in-frame,"Routing bucket. Splits into equipment profit, construction spending, energy spending and leased/colo spending.",Pass-through. Only the first child has a profit box.,,false,src-2026-w32-icapital-chain,,,0,none,,,,2026-08-10
equipment-profit,"Equipment — power, cooling and networking",dc-equipment-facility,13,in-frame,"Power distribution, thermal management and networking inside the data hall.",3.8 cents.,3.8,true,src-2026-w32-icapital-chain,"ai-physical-infrastructure,high-speed-connectivity","vrt,etn,hubb,nvt,jci,carr,mod,spxc,tt,powl,cmi,anet,cohr,lite,fn,cien",16,core,Our single deepest layer. Sixteen names competing for 3.8 cents of every AI dollar.,aggregate market cap and median revenue growth from weekly_metrics,The layer we know best is worth a quarter of what the layer we do not track is worth. This is the central finding of the mapping.,2026-08-10
construction-spending,Construction spending,dc-equipment-facility,14,in-frame,"Engineering, procurement and construction of the buildings and their electrical works.",No profit box. Routed out of frame as spending.,,false,src-2026-w32-icapital-chain,"age-of-electricity,ai-physical-infrastructure","pwr,eme,myrg",3,core,Three names in a flow the exhibit declines to credit with AI profit. The trained-labour moat argued in the electricity note is invisible to this lens.,backlog and book-to-bill where disclosed,"Either the exhibit understates a real moat, or we are underwriting a cost line as though it were a profit pool.",2026-08-10
energy-spending,Energy spending,dc-equipment-facility,15,in-frame,"Electricity purchased to run the load, flowing to generators and utilities.",No profit box. Routed out of frame as spending.,,false,src-2026-w32-icapital-chain,"age-of-electricity,advanced-nuclear-enablers","gev,ceg,vst,tln,nee,duk,so,aep,exc,d,leu,ccj,uec,dnn,nxe,uuuu,oklo,smr,bwxt",19,core,"Nineteen names — our largest single concentration — in the flow the exhibit treats purely as cost. GE Vernova and the fuel-cycle names sit a further step beyond the frame entirely, selling to the recipients of this spending.",aggregate market cap and realised power price proxies,The scarcity rent argued in research/themes/age-of-electricity.md is real but has no box on this chart. Both statements need to survive together or one of them is wrong.,2026-08-10
leased-colo-spending,Leased and colocation spending,dc-equipment-facility,16,in-frame,Rent paid to third-party data-centre landlords.,No profit box. Routed out of frame as spending.,,false,src-2026-w32-icapital-chain,,,0,none,"Zero names. A long-lease, contracted-cash-flow layer that the store has never assessed.",named landlord leasing disclosures,Excluded from the exhibit's profit attribution despite being one of the more contractually durable positions in the chain.,2026-08-10
