finding_id,week_id,report_id,member_id,severity,section,finding,fix,evidence,status,resolution_note,resolved_by,resolved_at,recorded_at
fnd-2026-W33-chancellor-01,2026-W33,2026-W33-004,chancellor,material,Structural Change Radar / Artificial Intelligence,"GE Vernova's own disclosed gas turbine capacity-addition schedule (20 GW annualised Q3 2026 rising to 30 GW by 2030, per src-2026-w32-gev-gas-capacity) is cited only as a constraint on GEV's own growth, never surfaced as the supply-side answer to how much capacity is being added against the 116 GW reservation book across the whole equipment layer.","Add a line in the Age of Electricity radar explicitly stating the disclosed capacity-addition rate against the order book size, and ask whether other turbine/transformer suppliers are expanding capacity on a comparable timeline.","src-2026-w32-gev-q2, src-2026-w32-gev-gas-capacity, src-2026-w32-transformer-leadtimes",open,,,,2026-08-16T09:05:43.758Z
fnd-2026-W33-chancellor-02,2026-W33,2026-W33-004,chancellor,material,3a. The AI profit pool,"Sixteen tracked names crowding into the 3.8c equipment layer is reported as a capture-size problem, never as evidence about the direction of return on incremental capital in that layer as more capital and entrants pursue the same order book.","Add a sentence interpreting the sixteen-name concentration as a capital-cycle signal (crowding pressure on returns), separate from the capture-size point already made.","data/ai_profit_pool.csv, equipment-profit row: our_name_count=16, aggregate_market_cap_usd=$1.04tn",open,,,,2026-08-16T09:05:43.758Z
fnd-2026-W33-chancellor-03,2026-W33,2026-W33-004,chancellor,material,Structural Change Radar / Digital Assets,"The x402 batching finding is framed as settling that the base settlement layer loses permanently ('the layer that gains is edge distribution; the layer that loses is base settlement'), when batching is itself a supply-side adaptation whose ultimate economics (aggregator take rates) are untested and unaddressed.","Reframe the batching finding as confirming decoupling of request volume from settlement count, while stating explicitly that base-layer capture now depends on an unanswered new question — what batch operators charge — rather than treating the capture verdict as closed.","data/crypto_rails.csv, settlement-layer row (capture_confidence: low, marked CONFIRMED 2026-08-12); src-2026-w33-x402-batch-settlement",open,,,,2026-08-16T09:05:43.758Z
fnd-2026-W33-chancellor-04,2026-W33,2026-W33-004,chancellor,minor,Existing Thesis Updates,GEV's 63 GW of slot reservations is framed as a GEV-specific open question rather than named as an instance of the capital-cycle pattern of financing expansion that must survive a capex slowdown before it converts.,"Add one sentence generalising the GEV reservation-conversion risk as the pattern to watch across the equipment layer, not just for this name.","data/growth_estimates.csv, gev row: key_uncertainty and falsifier fields",open,,,,2026-08-16T09:05:43.758Z
fnd-2026-W34-dalio-01,2026-W34,2026-W34-005,dalio,material,2. Cycle Position,"The section asserts current funding costs 'are not yet discouraging investment' citing only the fed funds level and the hyperscaler capex aggregate, with no financing-cost or credit-spread evidence, and does not distinguish the 17.3c external-funding layer (equity/venture capital) from debt-financed capex at the OEM/utility level.","State explicitly that the store holds no data on debt-versus-equity composition of hyperscaler or supplier capex financing, and add a research queue item to source project-debt spreads for gas-turbine and data-centre construction financing.","src-2026-w32-hyperscaler-runrate (Q1 run-rate $519B vs $725B guided aggregate) and ai_value_chain.csv external-funding row (17.3c, described as investor capital, not debt)",open,,,,2026-08-22T06:30:17.925Z
fnd-2026-W34-dalio-02,2026-W34,2026-W34-005,dalio,material,3a. The AI profit pool,"The Soros question about external funding contracting is raised but never quantified or scenario-tested against a specific credit-cost move, leaving a demand-side risk gestured at rather than examined — the precise failure mode this seat is tasked with catching.","Add a named research-queue item scoping a 'cost of credit +200bp' scenario against the external-funding layer and against merchant-generator (VST/TLN/CEG) PPA economics, which are forward-curve and discount-rate sensitive.","ai_value_chain.csv external-funding row note ('If funding tightens the chain contracts from the order-placing layer downward, not evenly') and growth_estimates.csv rows for vst/tln/ceg citing merchant-price-bet and regulatory-outcome-bet economics with no financing-cost sensitivity discussed",open,,,,2026-08-22T06:30:17.925Z
fnd-2026-W34-dalio-03,2026-W34,2026-W34-005,dalio,minor,1. Executive Summary,States 'Macro data unchanged' while Section 2 argues a three-of-four-month disinflationary trajectory in core CPI — an internal inconsistency between the summary and its own cycle interpretation.,Align the Exec Summary language with Section 2's trajectory framing rather than calling the month flat.,Section 2: 'core CPI is now 0.40 percentage points below its year-ago level and has declined in three of the last four months' vs. Exec Summary: 'Macro data unchanged.',open,,,,2026-08-22T06:30:17.925Z
fnd-2026-W34-damodaran-01,2026-W34,2026-W34-005,damodaran,material,2. Cycle Position,"The $725B hyperscaler capex aggregate is cited supportively ('partially evidenced in Q1 filings') without noting that the store's own primary source explicitly contradicts it, calling the figure 'a forward commitment rather than an established rate' against a Q1 run-rate of $519B.","Add a clause noting the run-rate contradiction so the paragraph's conclusion about funding discipline reflects the strongest evidence in the store, not just the headline figure.",src-2026-w32-hyperscaler-runrate (stance: contradicts) vs src-2026-w32-hyperscaler-capex,open,,,,2026-08-22T06:30:17.925Z
fnd-2026-W34-damodaran-02,2026-W34,2026-W34-005,damodaran,material,2. Cycle Position,"The claim that core CPI 'has declined in three of the last four months' and is '0.40 percentage points below its year-ago level' cannot be traced in the supplied store extract, which shows only two core-CPI readings (2.6% June, 2.5% July) across the cited source rows; macro_history.csv, which might support it, was excluded from this review.",Verify the three-of-four-month trend and the year-over-year comparison against data/macro_history.csv before next publication; cite the specific months if confirmed.,"src-2026-w30-fred-cpilfesl, src-2026-w32-fred-cpilfesl, src-2026-w33-fred-cpilfesl, src-2026-w34-fred-cpilfesl — only two distinct values visible (2.6%, 2.5%)",open,,,,2026-08-22T06:30:17.925Z
fnd-2026-W34-damodaran-03,2026-W34,2026-W34-005,damodaran,minor,3a. The AI profit pool,"The section restates the iCapital layer cents in prose (29.7c, 13.0c, 5.8c, 3.8c) despite the authoring instruction that the rendered board already carries these figures and that reproducing them duplicates the document.","Replace the restated cents with the interpretive claim only (e.g., 'the exhibit's four largest boxes remain outside our coverage'), referring readers to the board for the figures.",ai_value_chain.csv / ai_profit_pool.csv rendered board vs. the prose restatement in the issue,open,,,,2026-08-22T06:30:17.925Z
