signal_id,scope,subject_id,source,query,unit,window_days,lead_time_band,what_it_measures,caveat,source_url,authored_date
sig-embodied-arxiv,candidate,embodied-ai,arxiv,cs.RO,submissions,90,3-8 years (scientific throughput),"Research volume in robotics. Read as a growth rate against the same quarter a year earlier, never as a level — the level reflects how large the field already is, and only the rate carries information about acceleration.",arXiv category membership is author-declared and cs.RO absorbs a large amount of work that is really machine learning with a robot in the title. The category grows partly because tagging habits change.,https://arxiv.org/list/cs.RO/recent,2026-08-08
sig-embodied-github,candidate,embodied-ai,github,topic:robotics,repos_created,90,1-3 years (builder adoption),"New repositories created in the window. Builder adoption sits closer to commercialisation than research volume, so a divergence between this and the arXiv line — papers rising while repositories flatten — is the more interesting reading.","Topic labels are voluntary and fashion-driven. A rise can reflect relabelling rather than new work, and GitHub's search index excludes repositories that were later deleted or made private. Year-over-year is deliberately not computed for this source: GitHub prunes deleted and dormant repositories from its search index, so a past window returns only survivors and a naive comparison overstates growth several-fold. The level is recorded; the comparison becomes available from this store's own history after a year.",https://github.com/topics/robotics,2026-08-08
sig-embodied-pypi,candidate,embodied-ai,pypi,lerobot,downloads_month,30,1-3 years (builder adoption),Downloads of the dominant open robot-learning library. Package downloads are the noisiest signal in the ladder but the fastest to move.,"Download counts include continuous integration runs and mirrors, which can exceed human use by an order of magnitude. Treat step changes with suspicion — they are usually a new CI pipeline, not new users.",https://pypistats.org/packages/lerobot,2026-08-08
sig-orbital-arxiv,candidate,orbital-economics,arxiv,astro-ph.IM,submissions,90,3-8 years (scientific throughput),"Instrumentation and methods research, chosen over the general astrophysics categories because it tracks building things rather than observing them.","This category is dominated by ground-based telescope instrumentation, which has little to do with orbital economics. It is a weak proxy and is included provisionally.",https://arxiv.org/list/astro-ph.IM/recent,2026-08-08
sig-orbital-github,candidate,orbital-economics,github,topic:spacecraft,repos_created,90,1-3 years (builder adoption),"New spacecraft-related repositories. Low absolute volume, so it functions as a presence check rather than a trend line.","Volume is low enough that quarter-to-quarter movement is mostly noise. Do not read a single quarter; require four. Year-over-year is deliberately not computed for this source: GitHub prunes deleted and dormant repositories from its search index, so a past window returns only survivors and a naive comparison overstates growth several-fold. The level is recorded; the comparison becomes available from this store's own history after a year.",https://github.com/topics/spacecraft,2026-08-08
sig-orbital-pypi,candidate,orbital-economics,pypi,skyfield,downloads_month,30,1-3 years (builder adoption),"Downloads of the main orbital mechanics library, as a proxy for the number of people computing satellite positions for any purpose.","Widely used in amateur astronomy and satellite tracking hobby projects, so the majority of this number has no commercial content at all.",https://pypistats.org/packages/skyfield,2026-08-08
sig-synbio-arxiv,candidate,synthetic-biology,arxiv,q-bio.BM,submissions,90,3-8 years (scientific throughput),Biomolecules research volume.,"Thin. This category runs at roughly two hundred submissions a quarter, which is low enough that Poisson noise dominates any trend shorter than several years. Biology also preprints predominantly to bioRxiv rather than arXiv, so this measures a small and possibly unrepresentative slice.",https://arxiv.org/list/q-bio.BM/recent,2026-08-08
sig-synbio-github,candidate,synthetic-biology,github,topic:synthetic-biology,repos_created,90,1-3 years (builder adoption),"New synthetic biology repositories, as a check on whether the field has developer-facing tooling at all.","Expected to be very low. A persistently near-zero reading is itself the finding — a substrate with no developer ecosystem is not behaving like the internet or AI did at the equivalent stage. Year-over-year is deliberately not computed for this source: GitHub prunes deleted and dormant repositories from its search index, so a past window returns only survivors and a naive comparison overstates growth several-fold. The level is recorded; the comparison becomes available from this store's own history after a year.",https://github.com/topics/synthetic-biology,2026-08-08
sig-synbio-pypi,candidate,synthetic-biology,pypi,biopython,downloads_month,30,1-3 years (builder adoption),"Downloads of the long-established computational biology library, as a floor measure of bioinformatics activity.","Mature and near-universal in the field, so it tracks the size of the existing discipline rather than any acceleration. Useful as a denominator, not as a signal.",https://pypistats.org/packages/biopython,2026-08-08
sig-quantum-arxiv,candidate,fault-tolerant-quantum,arxiv,quant-ph,submissions,90,3-8 years (scientific throughput),"Quantum research volume. This candidate fails the substrate test, so the specific thing being watched is whether publication growth is accompanied by any movement in the builder-adoption rows below it.","A large and well-funded academic field will produce steady publication growth regardless of commercial prospects. Rising submissions here are close to uninformative on their own, which is precisely why they are paired.",https://arxiv.org/list/quant-ph/recent,2026-08-08
