asset_id,gate_number,gate_id,gate_name,status,evidence_ref,assessed_date,notes
crdo,1,falsifiable_thesis,Falsifiable thesis,not_assessed,,,
crdo,2,primary_evidence,Primary evidence,not_assessed,,,
crdo,3,variant_perception,Variant perception,not_assessed,,,
crdo,4,power_law_potential,Power-law potential,not_assessed,,,
crdo,5,durability,Durability,not_assessed,,,
crdo,6,management_incentives,Management and incentives,not_assessed,,,
crdo,7,economics_resilience,Economics and financial resilience,not_assessed,,,
crdo,8,disconfirming_research,Disconfirming research,not_assessed,,,
crdo,9,valuation_asymmetry,Valuation asymmetry,not_assessed,,,
crdo,10,pre_mortem,Pre-mortem,not_assessed,,,
crdo,11,kill_criteria,Kill criteria,not_assessed,,,
crdo,12,monitoring_plan,Monitoring plan,not_assessed,,,
crdo,13,position_sizing,Position-sizing assessment,not_assessed,,,
gev,1,falsifiable_thesis,Falsifiable thesis,not_assessed,,,
gev,2,primary_evidence,Primary evidence,not_assessed,,,
gev,3,variant_perception,Variant perception,not_assessed,,,
gev,4,power_law_potential,Power-law potential,not_assessed,,,
gev,5,durability,Durability,not_assessed,,,
gev,6,management_incentives,Management and incentives,not_assessed,,,
gev,7,economics_resilience,Economics and financial resilience,not_assessed,,,
gev,8,disconfirming_research,Disconfirming research,not_assessed,,,
gev,9,valuation_asymmetry,Valuation asymmetry,not_assessed,,,
gev,10,pre_mortem,Pre-mortem,not_assessed,,,
gev,11,kill_criteria,Kill criteria,not_assessed,,,
gev,12,monitoring_plan,Monitoring plan,not_assessed,,,
gev,13,position_sizing,Position-sizing assessment,not_assessed,,,
mp,1,falsifiable_thesis,Falsifiable thesis,not_assessed,,,
mp,2,primary_evidence,Primary evidence,not_assessed,,,
mp,3,variant_perception,Variant perception,not_assessed,,,
mp,4,power_law_potential,Power-law potential,not_assessed,,,
mp,5,durability,Durability,not_assessed,,,
mp,6,management_incentives,Management and incentives,not_assessed,,,
mp,7,economics_resilience,Economics and financial resilience,not_assessed,,,
mp,8,disconfirming_research,Disconfirming research,not_assessed,,,
mp,9,valuation_asymmetry,Valuation asymmetry,not_assessed,,,
mp,10,pre_mortem,Pre-mortem,not_assessed,,,
mp,11,kill_criteria,Kill criteria,not_assessed,,,
mp,12,monitoring_plan,Monitoring plan,not_assessed,,,
mp,13,position_sizing,Position-sizing assessment,not_assessed,,,
rklb,1,falsifiable_thesis,Falsifiable thesis,not_assessed,,,
rklb,2,primary_evidence,Primary evidence,not_assessed,,,
rklb,3,variant_perception,Variant perception,not_assessed,,,
rklb,4,power_law_potential,Power-law potential,not_assessed,,,
rklb,5,durability,Durability,not_assessed,,,
rklb,6,management_incentives,Management and incentives,not_assessed,,,
rklb,7,economics_resilience,Economics and financial resilience,not_assessed,,,
rklb,8,disconfirming_research,Disconfirming research,not_assessed,,,
rklb,9,valuation_asymmetry,Valuation asymmetry,not_assessed,,,
rklb,10,pre_mortem,Pre-mortem,not_assessed,,,
rklb,11,kill_criteria,Kill criteria,not_assessed,,,
rklb,12,monitoring_plan,Monitoring plan,not_assessed,,,
rklb,13,position_sizing,Position-sizing assessment,not_assessed,,,
vrt,1,falsifiable_thesis,Falsifiable thesis,not_assessed,,,
vrt,2,primary_evidence,Primary evidence,not_assessed,,,
vrt,3,variant_perception,Variant perception,not_assessed,,,
vrt,4,power_law_potential,Power-law potential,not_assessed,,,
vrt,5,durability,Durability,not_assessed,,,
vrt,6,management_incentives,Management and incentives,not_assessed,,,
vrt,7,economics_resilience,Economics and financial resilience,not_assessed,,,
vrt,8,disconfirming_research,Disconfirming research,not_assessed,,,
vrt,9,valuation_asymmetry,Valuation asymmetry,not_assessed,,,
vrt,10,pre_mortem,Pre-mortem,not_assessed,,,
vrt,11,kill_criteria,Kill criteria,not_assessed,,,
vrt,12,monitoring_plan,Monitoring plan,not_assessed,,,
vrt,13,position_sizing,Position-sizing assessment,not_assessed,,,
