week_id,as_of_date,layer_id,layer_name,exposure_class,benchmark_profit_cents,benchmark_source_id,our_name_count,aggregate_market_cap_usd,market_cap_change_pct,compared_with_week,metrics_from_week,median_revenue_growth_yoy,median_gross_margin,names_on_primary_evidence,names_on_screen_inference,note,recorded_at
2026-W33,2026-08-10,application-layer,Application layer,none,,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.719Z
2026-W33,2026-08-10,commercial-chips,Commercial chips,adjacent,13.0,src-2026-w32-icapital-chain,4,2331011240631,,,2026-W32,0.000,0.000,0,0,4 names tracked; no comparable prior snapshot for a change figure.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,construction-spending,Construction spending,core,,src-2026-w32-icapital-chain,3,142296466483,,,2026-W32,0.000,0.000,0,2,3 names tracked; no comparable prior snapshot for a change figure.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,custom-asics,Custom chips (ASICs),core,1.1,src-2026-w32-icapital-chain,2,2226438761496,,,2026-W32,0.000,0.000,0,0,2 names tracked; no comparable prior snapshot for a change figure.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,dc-chips-servers,Data-centre chips and servers,none,,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.719Z
2026-W33,2026-08-10,dc-equipment-facility,Data-centre equipment and facility,none,,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,energy-spending,Energy spending,core,,src-2026-w32-icapital-chain,19,996218465109,,,2026-W32,0.000,0.000,1,3,19 names tracked; no comparable prior snapshot for a change figure.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,equipment-profit,"Equipment — power, cooling and networking",core,3.8,src-2026-w32-icapital-chain,16,1042578220073,,,2026-W32,0.000,0.000,1,3,16 names tracked; no comparable prior snapshot for a change figure.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,external-funding,External funding,none,-17.3,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.719Z
2026-W33,2026-08-10,foundation-models,Foundation models,none,0,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.719Z
2026-W33,2026-08-10,foundry,Foundry,none,2.8,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes 2.8c of every AI dollar to this layer.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,hyperscaler-cloud,Hyperscaler cloud,none,29.7,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes 29.7c of every AI dollar to this layer.,2026-08-10T21:18:00.719Z
2026-W33,2026-08-10,leased-colo-spending,Leased and colocation spending,none,,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,memory,Memory,none,5.8,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes 5.8c of every AI dollar to this layer.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,neocloud,Pure neocloud,none,0.2,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes 0.2c of every AI dollar to this layer.,2026-08-10T21:18:00.719Z
2026-W33,2026-08-10,other-oem-cogs,Other OEM cost of goods,none,,src-2026-w32-icapital-chain,0,,,,2026-W32,,,0,0,No coverage. Benchmark attributes no profit box to this layer.,2026-08-10T21:18:00.720Z
2026-W33,2026-08-10,server-oem,Server OEM and ODM,core,2.8,src-2026-w32-icapital-chain,1,18722157345,,,2026-W32,0.000,0.000,0,0,1 names tracked; no comparable prior snapshot for a change figure.,2026-08-10T21:18:00.720Z
